id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,League,tackles
3423,Kylian Mbappe-Lottin,23,2041,23,21.64780845120549,4,6.512941654771566,111,54,3,0,F,Real Madrid,15,14.95830949023366,22.23695385456085,6.07964757271111,La_Liga,0
9002,Vedat Muriqi,26,2160,18,14.98125938884914,1,1.2104911403730512,74,12,3,1,F S,Mallorca,13,10.521593613550069,10.9022953286767,2.7047089827246964,La_Liga,3
11527,Lamine Yamal,23,1953,14,11.696614988148212,9,10.801214322447777,97,63,0,0,F M S,Barcelona,12,9.46678215265274,29.96692033857107,14.99508024007082,La_Liga,19
1235,Ante Budimir,26,2061,13,12.283620797097685,0,0.712651927024126,70,10,1,0,F S,Osasuna,9,8.56723266467452,7.506237840279937,0.8724451065063477,La_Liga,12
6441,Ferrán Torres,25,1558,12,13.659796830266714,1,2.1071850527077918,56,17,1,0,F M S,Barcelona,12,13.659796830266714,18.85624060407281,4.063856719993055,La_Liga,4
227,Robert Lewandowski,22,1030,11,13.244600269943476,1,1.707246646285057,50,9,2,0,F S,Barcelona,10,11.014767486602068,15.097747683525084,5.063795732334256,La_Liga,2
2234,Mikel Oyarzabal,24,2033,11,11.424993496388195,3,5.195232216268778,64,33,2,0,F S,Real Sociedad,7,8.452010948210955,16.407572150230408,5.870631724596024,La_Liga,13
2543,Borja Iglesias,24,1432,11,9.770618990063667,2,1.6599800884723663,40,17,6,0,F S,Celta Vigo,8,7.540786165744066,11.759857777506111,3.712372947484255,La_Liga,3
6531,Alexander Sørloth,26,1462,10,9.230048023164272,0,1.2237359210848808,50,10,3,1,F S,Atletico Madrid,10,9.230048023164272,10.513345445506276,1.30034436006099,La_Liga,4
8107,Jorge De Frutos,25,1868,10,9.39852156676352,1,2.185192434117198,41,23,2,0,F M,Rayo Vallecano,9,8.655243897810578,11.593741860240698,1.5291771087795496,La_Liga,12
7008,Vinícius Júnior,26,2069,9,9.973474495112896,5,5.246588980779052,74,48,6,0,F M S,Real Madrid,6,7.000364005565643,17.767170026898384,6.551719207316637,La_Liga,12
12160,Alberto Moleiro,26,1833,9,5.07492908090353,4,4.611291678622365,39,29,3,0,F M S,Villarreal,9,5.07492908090353,12.525592816993594,3.8367636390030384,La_Liga,11
14041,Vladyslav Vanat,24,1846,9,9.399721264839172,1,2.077208913862705,26,11,4,0,F,Girona,6,7.169888436794281,8.727086242288351,1.6265962794423103,La_Liga,3
6954,Juan Camilo Hernández,22,1866,8,8.682592749595642,3,4.052454952150583,63,28,2,0,F S,Real Betis,7,7.939315140247345,14.19253507256508,3.440162903629244,La_Liga,0
8026,Raphinha,18,1161,8,7.296199461445212,3,5.213481584563851,50,36,3,0,F M S,Barcelona,7,6.552921837195754,16.446984201669693,7.372651964426041,La_Liga,2
8187,Georges Mikautadze,22,1458,8,10.15859524346888,4,3.3805624451488256,40,17,1,0,F S,Villarreal,8,10.15859524346888,13.631259867921472,0.9945106888189912,La_Liga,1
10846,Julián Álvarez,27,1814,8,8.168195826932788,3,6.246315762400627,48,46,2,0,F S,Atletico Madrid,6,5.938362983986735,14.918634071946144,5.9993342738598585,La_Liga,11
1189,Lucas Boyé,20,1528,7,8.22836702130735,1,2.551776411011815,46,21,1,1,F M S,Alaves,6,7.485089352354407,11.226004030555488,3.659004306420684,La_Liga,21
2120,Gerard Moreno,13,772,7,4.073641765862703,0,2.642769679427147,22,18,0,0,F S,Villarreal,5,2.587086532264948,5.847267933189869,2.805291686207056,La_Liga,5
2589,Rafa Mir,22,1523,7,6.844356397166848,0,1.086331943050027,57,8,2,0,F M S,Elche,6,5.35792906023562,9.71628293581307,4.054512873291969,La_Liga,3
6170,André Silva,21,1203,7,6.862060454674065,0,1.3463149517774582,36,18,2,0,F S,Elche,6,6.118782845325768,7.259620310738683,1.3794817496091127,La_Liga,3
6637,Hugo Duro,25,1418,7,5.994393274188042,0,1.0660880766808989,26,13,4,1,F S,Valencia,7,5.994393274188042,7.332215897738934,1.7840082589536903,La_Liga,6
11094,Antony,22,1825,7,6.522263864055276,5,5.28869479522109,63,44,3,1,F M S,Real Betis,7,6.522263864055276,17.403583519160748,8.303991530556232,La_Liga,16
11783,Akor Adams,22,1458,7,8.522770423442125,3,0.8433635327965021,49,8,1,0,F S,Sevilla,5,7.036215174943209,8.340788539499044,1.0149144437164068,La_Liga,2
