name_league,played,points,mean_league_pts_match
Premier League,26.0,35.55,1.3673076923076921
Serie A,24.8,33.7,1.3588709677419355
Bundesliga,21.88888888888889,30.27777777777778,1.383248730964467
LALIGA,23.7,32.55,1.3734177215189873
