name_league,played,goals_against,avg_league_goals
Bundesliga,21.555555555555557,34.388888888888886,1.5953608247422677
Premier League,26.0,36.1,1.3884615384615384
LALIGA,23.0,30.25,1.315217391304348
Serie A,24.1,29.25,1.2136929460580912
