id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,League,tackles
3423,Kylian Mbappe-Lottin,24,2066,23,21.64780845120549,4,6.512941654771566,111,54,3,0,F S,Real Madrid,15,14.95830949023366,22.23695385456085,6.07964757271111,La_Liga,0
9002,Vedat Muriqi,28,2340,18,16.52774311415851,1,1.3022852363064883,86,15,3,1,F S,Mallorca,13,11.32479969970882,11.87207306176424,2.892682891804725,La_Liga,3
1235,Ante Budimir,28,2234,14,12.601044425740838,0,0.8396249487996101,75,12,1,0,F S,Osasuna,10,8.884656293317676,7.843566739931703,0.8724451065063477,La_Liga,12
11527,Lamine Yamal,25,2058,14,11.81193819642067,9,11.09273935854435,99,64,1,0,F M S,Barcelona,12,9.582105360925198,30.488716147840023,15.110027767717838,La_Liga,20
2234,Mikel Oyarzabal,26,2210,12,13.63562272116542,3,5.215658290311694,68,34,2,0,F S,Real Sociedad,7,9.919362623244524,18.368024706840515,6.343306541442871,La_Liga,13
6441,Ferrán Torres,26,1599,12,13.690469084307551,1,2.1071850527077918,57,17,1,0,F M S,Barcelona,12,13.690469084307551,18.96031825616956,4.167934372089803,La_Liga,5
227,Robert Lewandowski,24,1169,11,13.87701639905572,1,1.707246646285057,54,9,2,0,F S,Barcelona,10,11.647183615714312,15.945915907621384,5.279547857120633,La_Liga,3
2543,Borja Iglesias,26,1527,11,9.881765931844711,2,1.6599800884723663,41,17,6,0,F S,Celta Vigo,8,7.65193310752511,11.871004719287155,3.712372947484255,La_Liga,3
7008,Vinícius Júnior,28,2220,11,12.23895648866892,5,5.269209910184145,80,50,6,0,F M S,Real Madrid,7,8.522568330168724,18.059335008263588,6.646538320928812,La_Liga,14
8026,Raphinha,20,1336,11,9.96858157776296,3,5.760370654985309,58,38,4,0,F M S,Barcelona,8,7.738748712465167,17.740480542182922,7.480321377515793,La_Liga,5
6531,Alexander Sørloth,28,1562,10,9.739260882139206,0,1.2237359210848808,53,10,4,1,F S,Atletico Madrid,10,9.739260882139206,11.063541221432388,1.8048440488055348,La_Liga,6
8107,Jorge De Frutos,27,1986,10,9.610572976991534,1,2.5769353192299604,44,24,3,0,F M S,Rayo Vallecano,9,8.867295308038592,12.197536155581474,1.5291771087795496,La_Liga,12
1189,Lucas Boyé,23,1757,9,9.740091940388083,1,2.599700415506959,54,23,2,1,F M S,Alaves,7,8.2535366024822,11.545124039053915,3.659004306420684,La_Liga,24
6637,Hugo Duro,28,1538,9,7.09738864004612,0,1.60314504429698,28,15,4,1,F S,Valencia,8,6.354111030697823,8.786383114755154,2.341400707140565,La_Liga,6
8187,Georges Mikautadze,24,1631,9,12.018502527847886,5,3.5720873419195414,49,21,1,0,F S,Villarreal,9,12.018502527847886,15.837759101763368,1.2050323570147157,La_Liga,3
12160,Alberto Moleiro,28,1943,9,5.2085331454873085,4,4.693152310326695,40,30,3,0,F M S,Villarreal,9,5.2085331454873085,12.85078970901668,3.946495827287436,La_Liga,13
14041,Vladyslav Vanat,26,1992,9,9.496832385659218,1,2.104125237092376,27,12,4,0,F,Girona,6,7.2669995576143265,8.851113688200712,1.6265962794423103,La_Liga,3
2120,Gerard Moreno,15,882,8,5.30874203518033,0,2.707541406154633,27,19,0,0,F S,Villarreal,6,3.822186801582575,7.115302219986916,3.3820960335433483,La_Liga,6
2589,Rafa Mir,24,1624,8,7.06235602684319,0,1.7095182929188013,61,9,3,0,F M S,Elche,7,5.5759286899119616,10.386111969128253,4.549745937809348,La_Liga,5
5682,Gonçalo Guedes,29,1701,8,3.6678883749991655,4,2.4575627762824297,39,22,2,0,F M S,Real Sociedad,8,3.6678883749991655,10.41217865422368,6.727982435375452,La_Liga,15
